,index,raw data name,raw data name round,chemical_ID_xma,mz_time xma,Name_xma,Formula_xma,MonoisotopicMass_xma,Adduct_xma
33,33,121.070631599901 / 96.6000061035156,121.071 / 96.6,C20694,121.071 / 96.6,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
34,34,121.070668525859 / 139.5,121.071 / 139.5,C20694,121.071 / 139.5,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
35,35,121.070718463847 / 201.899993896484,121.071 / 201.9,C20694,121.071 / 201.9,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
36,36,121.063162518084 / 988.350006103516,121.063 / 988.4,C20694,121.063 / 988.4,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
37,37,121.070714944662 / 112.5,121.071 / 112.5,C20694,121.071 / 112.5,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
38,38,121.070759230425 / 116.399997711182,121.071 / 116.4,C20694,121.071 / 116.4,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
39,39,121.070721601164 / 127.200012207031,121.071 / 127.2,C20694,121.071 / 127.2,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
40,40,122.545478988868 / 39,122.545 / 39,C20581,122.545 / 39,cis-(Homo)2-aconitate,C8H10O6,202.0477,M+ACN+2H
41,41,123.043374766355 / 39,123.043 / 39,C15474,123.043 / 39,Tropolone,C7H6O2,122.0368,M+H
42,42,125.985197696051 / 39.9000015258789,125.985 / 39.9,C18872,125.985 / 39.9,Trimethylselenonium,C3H9Se,124.9869,M+H
43,43,126.090427057418 / 210,126.09 / 210,C20405,126.09 / 210,Pentalenate,C15H22O3,250.1569,M+2H
44,44,130.048188380852 / 67.2000045776367,130.048 / 67.2,C04282,130.048 / 67.2,1-Pyrroline-4-hydroxy-2-carboxylate,C5H7NO3,129.0426,M+H
45,45,130.048242831943 / 509.399993896484,130.048 / 509.4,C04282,130.048 / 509.4,1-Pyrroline-4-hydroxy-2-carboxylate,C5H7NO3,129.0426,M+H
46,46,130.064239986024 / 920.700012207031,130.064 / 920.7,C06413,130.064 / 920.7,Quinoline;Benzobpyridine,C9H7N,129.0578,M+H
47,47,130.107801050616 / 49.7999992370605,130.108 / 49.8,C07151,130.108 / 49.8,Metformin,C4H11N5,129.1014,M+H
48,48,131.047915070976 / 776.099975585938,131.048 / 776.1,C20254,131.048 / 776.1,Ureidoacrylate;(Z)-3-Ureidoacrylate,C4H6N2O3,130.0378,M+H
49,49,132.043497154123 / 258.600006103516,132.043 / 258.6,C11130,132.043 / 258.6,3-Hydroxyindolin-2-one;13-Dihydro-3-hydroxy-2H-indol-2-one;Dioxindole,C8H7NO2,149.0477,M+H-H2O
50,50,132.10044364407 / 84,132.1 / 84,C16647,132.1 / 84,NN-Diethylglycine,C6H13NO2,131.0946,M+H
51,51,136.046639783945 / 48.2999992370605,136.047 / 48.3,C05330,136.047 / 48.3,Homocysteine;2-Amino-4-mercaptobutyric acid,C4H9NO2S,135.0354,M+H
52,52,137.044290529425 / 62.8223495483398,137.044 / 62.8,C01620,137.044 / 62.8,Threonate;L-Threonate;(2R3S)-234-Trihydroxybutanoic acid,C4H8O5,136.0372,M+H
53,53,137.069476937039 / 46.2000007629395,137.069 / 46.2,C20645,137.069 / 46.2,Methyl benzoate,C8H8O2,136.0524,M+H
54,54,138.054013111344 / 50.7000007629395,138.054 / 50.7,C19597,138.054 / 50.7,2-Nitrotoluene,C7H7NO2,137.0477,M+H
55,55,139.048861070664 / 57.2999992370605,139.049 / 57.3,C19345,139.049 / 57.3,para-Benzoquinone dioxime,C6H6N2O2,138.0429,M+H
56,56,140.141720609831 / 2018.40002441406,140.142 / 2018.4,C10165,140.142 / 2018.4,Pinidine;Piperidine 2-methyl-6-(1-propenyl)- (2R-(2alpha6alpha(E)))-;(-)-Pinidine,C9H17N,139.1361,M+H
57,57,140.141577618097 / 2065.04992675781,140.142 / 2065,C10165,140.142 / 2065,Pinidine;Piperidine 2-methyl-6-(1-propenyl)- (2R-(2alpha6alpha(E)))-;(-)-Pinidine,C9H17N,139.1361,M+H
58,58,140.141527298946 / 1977.90002441406,140.142 / 1977.9,C10165,140.142 / 1977.9,Pinidine;Piperidine 2-methyl-6-(1-propenyl)- (2R-(2alpha6alpha(E)))-;(-)-Pinidine,C9H17N,139.1361,M+H
59,59,141.139362086489 / 2018.09997558594,141.139 / 2018.1,C06748,141.139 / 2018.1,Isopropylamine;2-Aminopropane;Monoisopropylamine;2-Propanamine,C3H9N,59.0735,2M+Na
60,60,141.139048051894 / 2065.19995117188,141.139 / 2065.2,C06748,141.139 / 2065.2,Isopropylamine;2-Aminopropane;Monoisopropylamine;2-Propanamine,C3H9N,59.0735,2M+Na
61,61,142.085252500669 / 62.0888195037842,142.085 / 62.1,C16821,142.085 / 62.1,Guvacoline,C7H11NO2,141.079,M+H
62,62,142.157693475427 / 2010,142.158 / 2010,C10159,142.158 / 2010,Methylconiine;()-N-Methylconiine,C9H19N,141.1518,M+H
63,63,142.157168378136 / 1969.80004882812,142.157 / 1969.8,C10159,142.157 / 1969.8,Methylconiine;()-N-Methylconiine,C9H19N,141.1518,M+H
64,64,142.157214196967 / 2089.19995117188,142.157 / 2089.2,C10159,142.157 / 2089.2,Methylconiine;()-N-Methylconiine,C9H19N,141.1518,M+H
65,65,142.157111072337 / 1990.65002441406,142.157 / 1990.7,C10159,142.157 / 1990.7,Methylconiine;()-N-Methylconiine,C9H19N,141.1518,M+H
66,66,142.157946532521 / 1895.69995117188,142.158 / 1895.7,C10159,142.158 / 1895.7,Methylconiine;()-N-Methylconiine,C9H19N,141.1518,M+H
67,67,143.116073524005 / 54.3295230865479,143.116 / 54.3,C19757,143.116 / 54.3,(Z)-3-Hexen-1-ol acetate;(3Z)-Hex-3-en-1-yl acetate;cis-3-Hexenyl acetate,C8H14O2,142.0994,M+H
68,68,144.100464830391 / 51.6000022888184,144.1 / 51.6,C10172,144.1 / 51.6,Stachydrine;Proline betaine,C7H13NO2,143.0946,M+H
69,69,144.100754544883 / 56.6285247802734,144.101 / 56.6,C10172,144.101 / 56.6,Stachydrine;Proline betaine,C7H13NO2,143.0946,M+H
70,70,144.136733535543 / 896.099975585938,144.137 / 896.1,C19983,144.137 / 896.1,Conhydrine;()-alpha-Conhydrine,C8H17NO,143.131,M+H
71,71,144.136843623196 / 878.099975585938,144.137 / 878.1,C19983,144.137 / 878.1,Conhydrine;()-alpha-Conhydrine,C8H17NO,143.131,M+H
72,72,145.104292272914 / 51.387825012207,145.104 / 51.4,C10172,145.104 / 51.4,Stachydrine;Proline betaine,C7H13NO2,-,M+H_[+1]
73,73,146.058995839916 / 280.800018310547,146.059 / 280.8,C19434,146.059 / 280.8,8-Hydroxyquinoline;Oxyquinoline,C9H7NO,145.0528,M+H
74,74,146.079476817927 / 86.4000015258789,146.079 / 86.4,C05825,146.079 / 86.4,2-Amino-5-oxohexanoate,C6H11NO3,145.0739,M+H
75,75,147.046259945366 / 89.9999923706055,147.046 / 90,C20231,147.046 / 90,(Z)-3-Ureidoacrylate peracid;Ureidoperacrylic acid,C4H6N2O4,146.0328,M+H
76,76,150.053622946807 / 258.600006103516,150.054 / 258.6,C11130,150.054 / 258.6,3-Hydroxyindolin-2-one;13-Dihydro-3-hydroxy-2H-indol-2-one;Dioxindole,C8H7NO2,149.0477,M+H
77,77,150.057729646018 / 63.5413055419922,150.058 / 63.5,C20694,150.058 / 63.5,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,2M+H+Na
78,78,151.033812415747 / 39.5999984741211,151.034 / 39.6,C02107,151.034 / 39.6,(SS)-Tartaric acid;(SS)-Tartrate;D-Tartrate;D-Tartaric acid;(2S3S)-Tartaric acid;(-)-Tartaric acid,C4H6O6,150.0164,M+H
79,79,151.05994904907 / 110.100006103516,151.06 / 110.1,C20569,151.06 / 110.1,beta-L-Arabinofuranose,C5H10O5,150.0528,M+H
80,80,151.142838875331 / 48.2999954223633,151.143 / 48.3,C20700,151.143 / 48.3,(EE)-4812-Trimethyltrideca-13711-tetraene;TMTT,C16H26,218.2035,M+2ACN+2H
81,81,152.020380634306 / 48,152.02 / 48,C17089,152.02 / 48,6-Chloroindole;6-Chloro-1H-indole,C8H6ClN,151.0189,M+H
82,82,152.035954723678 / 39.5999984741211,152.036 / 39.6,C02107,152.036 / 39.6,(SS)-Tartaric acid;(SS)-Tartrate;D-Tartrate;D-Tartaric acid;(2S3S)-Tartaric acid;(-)-Tartaric acid,C4H6O6,-,M+H_[+1]
83,83,152.145396059509 / 48,152.145 / 48,C06818,152.145 / 48,Amantadine,C10H17N,151.1361,M+H
84,84,153.03191438288 / 39.5999984741211,153.032 / 39.6,C02107,153.032 / 39.6,(SS)-Tartaric acid;(SS)-Tartrate;D-Tartrate;D-Tartaric acid;(2S3S)-Tartaric acid;(-)-Tartaric acid,C4H6O6,-,M+H_[+2]
85,85,153.064559767679 / 80.4000015258789,153.065 / 80.4,C18320,153.065 / 80.4,4-Amino-2-nitrotoluene,C7H8N2O2,152.0586,M+H
86,86,154.058498074774 / 133.800003051758,154.058 / 133.8,,,,,,
87,87,154.057887581756 / 79.5,154.058 / 79.5,C19385,154.058 / 79.5,14-Diamino-2-nitrobenzene,C6H7N3O2,153.0538,M+H
88,88,158.079478150859 / 264.300018310547,158.079 / 264.3,C17724,158.079 / 264.3,Ethadione,C7H11NO3,157.0739,M+H
89,89,158.115991876096 / 58.7999992370605,158.116 / 58.8,C12535,158.116 / 58.8,Tranexamic acid,C8H15NO2,157.1103,M+H
90,90,158.116050636216 / 66.9086532592773,158.116 / 66.9,C12535,158.116 / 66.9,Tranexamic acid,C8H15NO2,157.1103,M+H
91,91,158.962799014778 / 43.7999992370605,158.963 / 43.8,C19419,158.963 / 43.8,Ethylene sulfide;Thiirane,C2H4S,60.0034,2M+K
92,92,159.063709606995 / 294.300018310547,159.064 / 294.3,C05126,159.064 / 294.3,Dimethyl citraconate;Citraconic acid dimethyl ester;2-Butenedioic acid 2-methyl- dimethyl ester (Z)-;Citraconate de dimethyle;Citraconic acid dimethyl ester;Dimethyl methylmaleate;Methylmaleic acid dimethyl ester,C7H10O4,158.0579,M+H
93,93,159.14765025414 / 43.5,159.148 / 43.5,C19277,159.148 / 43.5,N-Nitrosodi-n-butylamine;NN-Dibutylnitrosoamine,C8H18N2O,158.1419,M+H
94,94,159.147934553283 / 72.8999938964844,159.148 / 72.9,C19277,159.148 / 72.9,N-Nitrosodi-n-butylamine;NN-Dibutylnitrosoamine,C8H18N2O,158.1419,M+H
95,95,160.095517378016 / 145.800003051758,160.096 / 145.8,C10850,160.096 / 145.8,Calystegin A3;Calystegine A3,C7H13NO3,159.0895,M+H
96,96,160.095247894169 / 98.7000045776367,160.095 / 98.7,C20388,160.095 / 98.7,12(S)-HHT;(12S5Z8E10E)-12-Hydroxy-5810-heptadecatrienoic acid,C17H28O3,280.2038,M+H+K
97,97,160.095212271926 / 307.5,160.095 / 307.5,C20388,160.095 / 307.5,12(S)-HHT;(12S5Z8E10E)-12-Hydroxy-5810-heptadecatrienoic acid,C17H28O3,280.2038,M+H+K
98,98,160.10708601067 / 68.4000015258789,160.107 / 68.4,C13688,160.107 / 68.4,delta-Guanidinovaleric acid,C6H13N3O2,159.1008,M+H
99,99,160.131637992712 / 54.5999984741211,160.132 / 54.6,C20128,160.132 / 54.6,Bombykal;(ZE)-1012-Hexadecadienal,C16H28O,236.214,M+2ACN+2H
100,100,161.090928311347 / 198.599990844727,161.091 / 198.6,C19929,161.091 / 198.6,N-alpha-Acetyl-L-24-diaminobutyrate,C6H12N2O3,160.0848,M+H
101,101,162.053315798117 / 637.799987792969,162.053 / 637.8,C20204,162.053 / 637.8,Entadamide A,C6H11NO2S,161.051,M+H
102,102,162.053575103525 / 450.000030517578,162.054 / 450,C02824,162.054 / 450,Cyclohexylsulfamate;Cyclohexylsulfamic acid;Cylamic acid;Cyclohexylamide sulfate,C6H13NO3S,179.0616,M+H-H2O
103,103,162.074643634265 / 67.2629318237305,162.075 / 67.3,C19694,162.075 / 67.3,D-Alanyl-(R)-lactate;D-Alanyl-D-lactate;(2R)-2-(D-Alanyloxy)propanoic acid;(R)-2-(R)-2-Aminopropanoyloxypropanoic acid,C6H11NO4,161.0688,M+H
104,104,162.111154641249 / 47.7000007629395,162.111 / 47.7,C17930,162.111 / 47.7,Dimaprit,C6H15N3S,161.0987,M+H
105,105,163.073924924806 / 1659.59997558594,163.074 / 1659.6,C16593,163.074 / 1659.6,7-Mercaptoheptanoic acid,C7H14O2S,162.0715,M+H
106,106,163.07401318733 / 1672.5,163.074 / 1672.5,C20269,163.074 / 1672.5,Eugenol quinone methide,C10H10O2,162.0681,M+H
107,107,164.072780708047 / 90,164.073 / 90,C20651,164.073 / 90,O-Ureido-D-serine;(2R)-2-Amino-3-(carbamoylamino)oxypropanoate;(2R)-2-Amino-3-(carbamoylamino)oxypropanoic acid,C4H9N3O4,163.0593,M+H
108,108,165.053261038207 / 70.5,165.053 / 70.5,C12621,165.053 / 70.5,trans-3-Hydroxycinnamate;(2E)-3-(3-Hydroxyphenyl)prop-2-enoate,C9H8O3,164.0473,M+H
109,109,166.08470542122 / 131.699996948242,166.085 / 131.7,C20488,166.085 / 131.7,D-beta-Phenylalanine;(S)-3-Amino-3-phenylpropanoate,C9H11NO2,165.079,M+H
110,110,166.070998023902 / 62.4000015258789,166.071 / 62.4,C19452,166.071 / 62.4,N-Methyl-N4-dinitrosoaniline;N4-Dinitrosomethylaniline,C7H7N3O2,165.0538,M+H
111,111,166.071167741223 / 98.7000045776367,166.071 / 98.7,C02242,166.071 / 98.7,7-Methylguanine,C6H7N5O,165.0651,M+H
112,112,166.197755541796 / 131.400009155273,166.198 / 131.4,C00986,166.198 / 131.4,13-Diaminopropane;Trimethylenediamine;13-Propanediamine;Propane-13-diamine,C3H10N2,74.0844,2M+NH4
113,113,167.011187685135 / 39.5999984741211,167.011 / 39.6,C17948,167.011 / 39.6,Deamino-alpha-keto-demethylphosphinothricin;4-(Hydroxyphosphinyl)-2-oxobutyric acid,C4H7O5P,166.0031,M+H
114,114,167.055062352095 / 109.799987792969,167.055 / 109.8,C20345,167.055 / 109.8,Isopentenyl phosphate,C5H11O4P,166.0395,M+H
115,115,167.08743696213 / 131.699996948242,167.087 / 131.7,C20488,167.087 / 131.7,D-beta-Phenylalanine;(S)-3-Amino-3-phenylpropanoate,C9H11NO2,-,M+H_[+1]
116,116,168.593105122053 / 489.900024414062,168.593 / 489.9,C16427,168.593 / 489.9,Isopentenyl adenosine,C15H21N5O4,335.1594,M+2H
117,117,169.034539714875 / 60.6000022888184,169.035 / 60.6,C14702,169.035 / 60.6,12-Dinitrobenzene;o-Dinitrobenzene,C6H4N2O4,168.0171,M+H
118,118,169.059354019262 / 163.800003051758,169.059 / 163.8,C19469,169.059 / 163.8,5-Nitro-ortho-anisidine;2-Methoxy-5-nitroaniline,C7H8N2O3,168.0535,M+H
119,119,169.095011293254 / 489.899993896484,169.095 / 489.9,C16250,169.095 / 489.9,MTIC,C5H8N6O,168.076,M+H
120,120,169.13231698211 / 52.5,169.132 / 52.5,C20323,169.132 / 52.5,()-6-endo-Hydroxycamphor,C10H16O2,168.115,M+H
121,121,169.592393649318 / 489.900024414062,169.592 / 489.9,C20289,169.592 / 489.9,N-Hydroxy-IQ,C11H10N4O,214.0855,M+3ACN+2H
122,122,170.040145579268 / 39.2999992370605,170.04 / 39.3,C18315,170.04 / 39.3,4-Methyl-5-nitrocatechol,C7H7NO4,169.0375,M+H
123,123,170.058174967844 / 784.200012207031,170.058 / 784.2,C13482,170.058 / 784.2,Phosphodimethylethanolamine,C4H12NO4P,169.0504,M+H
124,124,170.043581594442 / 155.399993896484,170.044 / 155.4,C20697,170.044 / 155.4,(2E4E6E)-4-Methylocta-246-trienedial,C9H10O2,150.0681,2M+H+K
125,125,170.090857276597 / 77.1478538513184,170.091 / 77.1,C19319,170.091 / 77.1,5-Aminoacenaphthene;5-Acenaphthenamine,C12H11N,169.0891,M+H
126,126,172.097024039974 / 624.600036621094,172.097 / 624.6,C11837,172.097 / 624.6,N-Butyryl-L-homoserine lactone,C8H13NO3,171.0895,M+H
127,127,172.163629752271 / 1223.40002441406,172.164 / 1223.4,C20792,172.164 / 1223.4,Oleoylethanolamide;OEA,C20H39NO2,325.2981,M+H+NH4
128,128,174.079534514056 / 87,174.08 / 87,C19543,174.08 / 87,Tris(1-aziridinyl)phosphine oxide;TEPA;APO,C6H12N3OP,173.0718,M+H
129,129,174.111058693135 / 670.500061035156,174.111 / 670.5,C10173,174.111 / 670.5,Swainsonine,C8H15NO3,173.1052,M+H
130,130,174.110898361472 / 593.099975585938,174.111 / 593.1,C10173,174.111 / 593.1,Swainsonine,C8H15NO3,173.1052,M+H
131,131,174.110940555289 / 270.600006103516,174.111 / 270.6,C10173,174.111 / 270.6,Swainsonine,C8H15NO3,173.1052,M+H
132,132,174.122110869892 / 77.4065628051758,174.122 / 77.4,C15476,174.122 / 77.4,Norselegiline,C12H15N,173.1204,M+H
133,133,175.077137600468 / 533.400024414062,175.077 / 533.4,C16674,175.077 / 533.4,Formylisoglutamine;DL-Formylisoglutamine,C6H10N2O4,174.0641,M+H
134,134,175.582466350129 / 570.900024414062,175.582 / 570.9,C18501,175.582 / 570.9,Fentrazamide,C16H20ClN5O2,349.1306,M+2H
135,135,176.069288020325 / 674.099975585938,176.069 / 674.1,C15996,176.069 / 674.1,7-Cyano-7-carbaguanine;7-Cyano-7-deazaguanine,C7H5N5O,175.0494,M+H
136,136,176.581265069642 / 570.900024414062,176.581 / 570.9,C20418,176.581 / 570.9,NN-Diacetyllegionaminate,C13H22N2O8,334.1376,M+H+NH4
137,137,177.052846790899 / 601.118286132812,177.053 / 601.1,C17216,177.053 / 601.1,2-Oxo-6-methylthiohexanoic acid;6-(Methylthio)-2-oxo-hexanoic acid,C7H12O3S,176.0507,M+H
138,138,177.100079774706 / 66.5999984741211,177.1 / 66.6,C18744,177.1 / 66.6,Metaldehyde,C8H16O4,176.1049,M+H
139,139,177.110404796515 / 805.200012207031,177.11 / 805.2,C20009,177.11 / 805.2,Iriomoteolide 1a;Iriomoteolide-1a,C29H46O7,506.3244,M+2H+Na
140,140,178.087752527347 / 154.800003051758,178.088 / 154.8,C17217,178.088 / 154.8,Dihomomethionine,C7H15NO2S,177.0823,M+H
141,141,180.063477321305 / 450.364379882812,180.063 / 450.4,C02824,180.063 / 450.4,Cyclohexylsulfamate;Cyclohexylsulfamic acid;Cylamic acid;Cyclohexylamide sulfate,C6H13NO3S,179.0616,M+H
142,142,180.085046479155 / 189.300018310547,180.085 / 189.3,C20141,180.085 / 189.3,Acridine,C13H9N,179.0735,M+H
143,143,180.078689898148 / 766.799987792969,180.079 / 766.8,C20141,180.079 / 766.8,Acridine,C13H9N,179.0735,M+H
144,144,180.182146157538 / 450.50358581543,180.182 / 450.5,C13736,180.182 / 450.5,Memantine,C12H21N,179.1674,M+H
145,145,180.263388198542 / 450.308502197266,180.263 / 450.3,,,,,,
146,146,180.315546902205 / 450.299987792969,180.316 / 450.3,,,,,,
147,147,180.469348821146 / 450.300018310547,180.469 / 450.3,C20475,180.469 / 450.3,Sporulenol;(1R2R4aS4bR6aS10aS10bR12aS)-24b7710a12a-Hexamethyl-1-(3R)-3-(4-methylcyclohexa-14-dien-1-yl)butyloctadecahydrochrysen-2-ol,C35H58O,494.4488,M+H+2Na
148,148,181.058890932384 / 298.200012207031,181.059 / 298.2,C19891,181.059 / 298.2,1D-chiro-Inositol;124356-Cyclohexane-123456-hexol;()-Inositol,C6H12O6,180.0634,M+H
149,149,181.067156870322 / 450.299987792969,181.067 / 450.3,C19891,181.067 / 450.3,1D-chiro-Inositol;124356-Cyclohexane-123456-hexol;()-Inositol,C6H12O6,180.0634,M+H
150,150,181.070115584192 / 166.199996948242,181.07 / 166.2,C20592,181.07 / 166.2,Moniliformin,C4H2O3,98.0004,M+2ACN+H
151,151,181.07024900749 / 269.100006103516,181.07 / 269.1,C20592,181.07 / 269.1,Moniliformin,C4H2O3,98.0004,M+2ACN+H
152,152,181.083360384615 / 766.799987792969,181.083 / 766.8,C20343,181.083 / 766.8,Isopropylparaben;Isopropyl 4-hydroxybenzoate,C10H12O3,180.0786,M+H
153,153,182.061989996228 / 298.199981689453,182.062 / 298.2,C19891,182.062 / 298.2,1D-chiro-Inositol;124356-Cyclohexane-123456-hexol;()-Inositol,C6H12O6,-,M+H_[+1]
154,154,182.079243412911 / 70.7999954223633,182.079 / 70.8,C19712,182.079 / 70.8,N-Hydroxy-L-phenylalanine;2-(Hydroxyamino)-3-phenylpropanoate,C9H11NO3,181.0739,M+H
155,155,182.066240425441 / 82.5226058959961,182.066 / 82.5,C05042,182.066 / 82.5,Glufosinate;Phosphinothricin;2-Amino-4-(hydroxymethylphosphinyl)butanoic acid,C5H12NO4P,181.0504,M+H
156,156,182.079346918741 / 527.700012207031,182.079 / 527.7,C20522,182.079 / 527.7,Dihydrourocanate;Deaminohistidine;3-(1H-Imidazol-4-yl)propanoate,C6H8N2O2,140.0586,M+ACN+H
157,157,182.068933328447 / 450.299987792969,182.069 / 450.3,C02824,182.069 / 450.3,Cyclohexylsulfamate;Cyclohexylsulfamic acid;Cylamic acid;Cyclohexylamide sulfate,C6H13NO3S,-,M+H_[+2]
158,158,182.98396807255 / 1.79999995231628,182.984 / 1.8,C07598,182.984 / 1.8,Succimer;meso-23-Dimercaptosuccinic acid,C4H6O4S2,181.9708,M+H
