"",index,raw data name,raw data name round,chemical_ID_xma,mz_time xma,Name_xma,Formula_xma,MonoisotopicMass_xma,Adduct_xma
"51",51,136.046639783945 / 48.2999992370605,136.047 / 48.3,HMDB32931,136.047 / 48.3,2-Benzoxazolol,C7H5NO2,135.032028409,M+H
"52",52,137.044290529425 / 62.8223495483398,137.044 / 62.8,HMDB33054,137.044 / 62.8,Ethyl isopropyl disulfide,C5H12S2,136.038041764,M+H
"53",53,137.069476937039 / 46.2000007629395,137.069 / 46.2,HMDB59711,137.069 / 46.2,2-Methylnicotinamide,C7H8N2O,136.063662888,M+H
"54",54,138.054013111344 / 50.7000007629395,138.054 / 50.7,HMDB60722,138.054 / 50.7,2-Pyridylacetic acid,C7H7NO2,137.047678473,M+H
"55",55,139.048861070664 / 57.2999992370605,139.049 / 57.3,HMDB59965,139.049 / 57.3,34-Dihydroxybenzaldehyde,C7H6O3,138.031694058,M+H
"56",56,140.141720609831 / 2018.40002441406,140.142 / 2018.4,HMDB38140,140.142 / 2018.4,Santene,C9H14,122.109550448,M+NH4
"57",57,140.141577618097 / 2065.04992675781,140.142 / 2065,HMDB38140,140.142 / 2065,Santene,C9H14,122.109550448,M+NH4
"58",58,140.141527298946 / 1977.90002441406,140.142 / 1977.9,HMDB38140,140.142 / 1977.9,Santene,C9H14,122.109550448,M+NH4
"59",59,141.139362086489 / 2018.09997558594,141.139 / 2018.1,HMDB59961,141.139 / 2018.1,NNN-Trimethylethenaminium,C5H12N,86.096974389,3M+H+Na
"60",60,141.139048051894 / 2065.19995117188,141.139 / 2065.2,HMDB59961,141.139 / 2065.2,NNN-Trimethylethenaminium,C5H12N,86.096974389,3M+H+Na
"61",61,142.085252500669 / 62.0888195037842,142.085 / 62.1,HMDB30352,142.085 / 62.1,Arecaidine,C7H11NO2,141.078978601,M+H
"62",62,142.157693475427 / 2010,142.158 / 2010,HMDB15651,142.158 / 2010,Isometheptene,C9H19N,141.151749613,M+H
"63",63,142.157168378136 / 1969.80004882812,142.157 / 1969.8,HMDB15651,142.157 / 1969.8,Isometheptene,C9H19N,141.151749613,M+H
"64",64,142.157214196967 / 2089.19995117188,142.157 / 2089.2,HMDB15651,142.157 / 2089.2,Isometheptene,C9H19N,141.151749613,M+H
"65",65,142.157111072337 / 1990.65002441406,142.157 / 1990.7,HMDB15651,142.157 / 1990.7,Isometheptene,C9H19N,141.151749613,M+H
"66",66,142.157946532521 / 1895.69995117188,142.158 / 1895.7,HMDB15651,142.158 / 1895.7,Isometheptene,C9H19N,141.151749613,M+H
"67",67,143.116073524005 / 54.3295230865479,143.116 / 54.3,HMDB59908,143.116 / 54.3,Ethyl-3-hexanoate,C8H14O2,142.099379692,M+H
"68",68,144.100464830391 / 51.6000022888184,144.1 / 51.6,HMDB38949,144.1 / 51.6,3beta6beta-Dihydroxynortropane,C7H13NO2,143.094628665,M+H
"69",69,144.100754544883 / 56.6285247802734,144.101 / 56.6,HMDB38949,144.101 / 56.6,3beta6beta-Dihydroxynortropane,C7H13NO2,143.094628665,2M+2H
"70",70,144.136733535543 / 896.099975585938,144.137 / 896.1,HMDB59889,144.137 / 896.1,Isohexanol,C6H14O,102.10446507,M+ACN+H
"71",71,144.136843623196 / 878.099975585938,144.137 / 878.1,HMDB59889,144.137 / 878.1,Isohexanol,C6H14O,102.10446507,M+ACN+H
"72",72,145.104292272914 / 51.387825012207,145.104 / 51.4,HMDB38949,145.104 / 51.4,3beta6beta-Dihydroxynortropane,C7H13NO2,-,M+H_[+1]
"73",73,146.058995839916 / 280.800018310547,146.059 / 280.8,HMDB29737,146.059 / 280.8,1H-Indole-3-carboxaldehyde,C9H7NO,145.052763851,M+H
"74",74,146.079476817927 / 86.4000015258789,146.079 / 86.4,HMDB61156,146.079 / 86.4,N-(2-Carboxymethyl)-morpholine,C6H11NO3,145.073893223,M+H
"75",75,147.046259945366 / 89.9999923706055,147.046 / 90,HMDB40237,147.046 / 90,Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone,C6H10O2S,146.040150254,M+H
"76",76,150.053622946807 / 258.600006103516,150.054 / 258.6,HMDB60946,150.054 / 258.6,NAPQI,C8H7NO2,149.047678473,M+H
"77",77,150.057729646018 / 63.5413055419922,150.058 / 63.5,HMDB14796,150.058 / 63.5,Sevelamer,C6H12ClNO,149.060741718,M+H
"78",78,151.033812415747 / 39.5999984741211,151.034 / 39.6,HMDB59916,151.034 / 39.6,23-Dihydroxybutanedioic acid,C4H6O6,150.016437924,M+H
"79",79,151.05994904907 / 110.100006103516,151.06 / 110.1,HMDB60435,151.06 / 110.1,alpha-Fluoro-beta-ureidopropionic acid,C4H7FN2O3,150.044070305,M+H
"80",80,151.142838875331 / 48.2999954223633,151.143 / 48.3,HMDB35792,151.143 / 48.3,(E)-48-Dimethyl-137-nonatriene,C11H18,150.140850576,M+H
"81",81,152.020380634306 / 48,152.02 / 48,HMDB40578,152.02 / 48,4-Thiocyanatophenol,C7H5NOS,151.009184477,M+H
"82",82,152.035954723678 / 39.5999984741211,152.036 / 39.6,HMDB59916,152.036 / 39.6,23-Dihydroxybutanedioic acid,C4H6O6,-,M+H_[+1]
"83",83,152.145396059509 / 48,152.145 / 48,HMDB35792,152.145 / 48,(E)-48-Dimethyl-137-nonatriene,C11H18,-,M+H_[+1]
"84",84,153.03191438288 / 39.5999984741211,153.032 / 39.6,HMDB59916,153.032 / 39.6,23-Dihydroxybutanedioic acid,C4H6O6,-,M+H_[+2]
"85",85,153.064559767679 / 80.4000015258789,153.065 / 80.4,HMDB04194,153.065 / 80.4,N1-Methyl-4-pyridone-3-carboxamide,C7H8N2O2,152.05857751,M+H
"86",86,154.058498074774 / 133.800003051758,154.058 / 133.8,,,,,,
"87",87,154.057887581756 / 79.5,154.058 / 79.5,HMDB59811,154.058 / 79.5,2-Nitro-p-cresol,C7H7NO3,153.042593095,M+H
"88",88,158.079478150859 / 264.300018310547,158.079 / 264.3,HMDB14755,158.079 / 264.3,Paramethadione,C7H11NO3,157.073893223,M+H
"89",89,158.115991876096 / 58.7999992370605,158.116 / 58.8,HMDB33433,158.116 / 58.8,(S)-Homostachydrine,C8H15NO2,157.110278729,M+H
"90",90,158.116050636216 / 66.9086532592773,158.116 / 66.9,HMDB33433,158.116 / 66.9,(S)-Homostachydrine,C8H15NO2,157.110278729,M+H
"91",91,158.962799014778 / 43.7999992370605,158.963 / 43.8,HMDB32554,158.963 / 43.8,Vinyl chloride-vinylidene chloride copolymer,C4H5Cl3,157.945683281,M+H
"92",92,159.063709606995 / 294.300018310547,159.064 / 294.3,HMDB59815,159.064 / 294.3,Ethyl 5-oxotetrahydro-2-furancarboxylate,C7H10O4,158.057908808,M+H
"93",93,159.14765025414 / 43.5,159.148 / 43.5,HMDB59822,159.148 / 43.5,Ethyl 5-methylhexanoate,C9H18O2,158.13067982,M+H
"94",94,159.147934553283 / 72.8999938964844,159.148 / 72.9,HMDB59822,159.148 / 72.9,Ethyl 5-methylhexanoate,C9H18O2,158.13067982,M+H
"95",95,160.095517378016 / 145.800003051758,160.096 / 145.8,HMDB38625,160.096 / 145.8,Medicanine,C7H13NO3,159.089543287,M+H
"96",96,160.095247894169 / 98.7000045776367,160.095 / 98.7,HMDB38625,160.095 / 98.7,Medicanine,C7H13NO3,159.089543287,M+H
"97",97,160.095212271926 / 307.5,160.095 / 307.5,HMDB38625,160.095 / 307.5,Medicanine,C7H13NO3,159.089543287,M+H
"98",98,160.10708601067 / 68.4000015258789,160.107 / 68.4,HMDB40057,160.107 / 68.4,()-2-Pentylthiazolidine,C8H17NS,159.108170239,M+H
"99",99,160.131637992712 / 54.5999984741211,160.132 / 54.6,HMDB14375,160.132 / 54.6,Pregabalin,C8H17NO2,159.125928793,M+H
"100",100,161.090928311347 / 198.599990844727,161.091 / 198.6,HMDB59893,161.091 / 198.6,Ethyl methylsuccinate,C7H12O4,160.073558872,M+H
"101",101,162.053315798117 / 637.799987792969,162.053 / 637.8,HMDB60289,162.053 / 637.8,Quinoline-48-diol,C9H7NO2,161.047678473,M+H
"102",102,162.053575103525 / 450.000030517578,162.054 / 450,HMDB32595,162.054 / 450,1-(4-Methoxyphenyl)-2-nitroethylene,C9H9NO3,179.058243159,M+H-H2O
"103",103,162.074643634265 / 67.2629318237305,162.075 / 67.3,HMDB34888,162.075 / 67.3,4-Acetylimidazo45-cpyridine,C8H7N3O,161.058911861,M+H
"104",104,162.111154641249 / 47.7000007629395,162.111 / 47.7,HMDB01010,162.111 / 47.7,Nicotine imine,C10H13N2,161.107873426,M+H
"105",105,163.073924924806 / 1659.59997558594,163.074 / 1659.6,HMDB60335,163.074 / 1659.6,12-Dihydronaphthalene-12-diol,C10H10O2,162.068079564,M+H
"106",106,163.07401318733 / 1672.5,163.074 / 1672.5,HMDB60335,163.074 / 1672.5,12-Dihydronaphthalene-12-diol,C10H10O2,162.068079564,M+H
"107",107,164.072780708047 / 90,164.073 / 90,HMDB34324,164.073 / 90,S-Propyl-L-cysteine,C6H13NO2S,163.066699355,M+H
"108",108,165.053261038207 / 70.5,165.053 / 70.5,HMDB41592,165.053 / 70.5,Coumaric acid,C9H8O3,164.047344122,M+H
"109",109,166.08470542122 / 131.699996948242,166.085 / 131.7,HMDB00159,166.085 / 131.7,L-Phenylalanine,C9H11NO2,165.078978601,M+H
"110",110,166.070998023902 / 62.4000015258789,166.071 / 62.4,HMDB06040,166.071 / 62.4,N2-Methylguanine,C6H7N5O,165.065059871,M+H
"111",111,166.071167741223 / 98.7000045776367,166.071 / 98.7,HMDB06040,166.071 / 98.7,N2-Methylguanine,C6H7N5O,165.065059871,M+H
"112",112,166.197755541796 / 131.400009155273,166.198 / 131.4,HMDB13136,166.198 / 131.4,12 Diaminopropane,C3H10N2,74.08439833,2M+NH4
"113",113,167.011187685135 / 39.5999984741211,167.011 / 39.6,HMDB61177,167.011 / 39.6,Pyridine N-oxide glucuronide,C11H14NO7,272.077026807,M+Na+K
"114",114,167.055062352095 / 109.799987792969,167.055 / 109.8,HMDB60256,167.055 / 109.8,L-Xylonate,C5H10O6,166.047738052,M+H
"115",115,167.08743696213 / 131.699996948242,167.087 / 131.7,HMDB00159,167.087 / 131.7,L-Phenylalanine,C9H11NO2,-,M+H_[+1]
"116",116,168.593105122053 / 489.900024414062,168.593 / 489.9,HMDB30193,168.593 / 489.9,N-2-4-(33-Dimethylallyloxy)phenylethylcinnamide,C22H25NO2,335.188529049,M+2H
"117",117,169.034539714875 / 60.6000022888184,169.035 / 60.6,HMDB00289,169.035 / 60.6,Uric acid,C5H4N4O3,168.028340014,M+H
"118",118,169.059354019262 / 163.800003051758,169.059 / 163.8,HMDB00130,169.059 / 163.8,Homogentisic acid,C8H8O4,168.042258744,M+H
"119",119,169.095011293254 / 489.899993896484,169.095 / 489.9,HMDB59963,169.095 / 489.9,135-Trimethoxybenzene,C9H12O3,168.07864425,M+H
"120",120,169.13231698211 / 52.5,169.132 / 52.5,HMDB40639,169.132 / 52.5,(xi)-(Z)-5-(3-Hexenyl)dihydro-2(3H)-furanone,C10H16O2,168.115029756,M+H
"121",121,169.592393649318 / 489.900024414062,169.592 / 489.9,HMDB60963,169.592 / 489.9,1-hydroxytacrine,C13H14N2O,214.11061308,M+3ACN+2H
"122",122,170.040145579268 / 39.2999992370605,170.04 / 39.3,HMDB12247,170.04 / 39.3,L-23-Dihydrodipicolinate,C7H7NO4,169.037507717,M+H
"123",123,170.058174967844 / 784.200012207031,170.058 / 784.2,HMDB60244,170.058 / 784.2,Phosphodimethylethanolamine,C4H12NO4P,169.050394389,M+H
"124",124,170.043581594442 / 155.399993896484,170.044 / 155.4,HMDB12247,170.044 / 155.4,L-23-Dihydrodipicolinate,C7H7NO4,169.037507717,M+H
"125",125,170.090857276597 / 77.1478538513184,170.091 / 77.1,HMDB32562,170.091 / 77.1,Diphenylamine,C12H11N,169.089149357,M+H
"126",126,172.097024039974 / 624.600036621094,172.097 / 624.6,HMDB61056,172.097 / 624.6,benzisothiazole piperazine,C11H13N3S,219.083018121,M+3ACN+2H
"127",127,172.163629752271 / 1223.40002441406,172.164 / 1223.4,HMDB36195,172.164 / 1223.4,N23-Trimethyl-2-(1-methylethyl)butanamide,C10H21NO,171.162314299,M+H
"128",128,174.079534514056 / 87,174.08 / 87,HMDB37113,174.08 / 87,1256-Tetrahydro-4H-pyrrolo321-ijquinolin-4-one,C11H11NO,173.084063979,M+H
"129",129,174.111058693135 / 670.500061035156,174.111 / 670.5,HMDB59607,174.111 / 670.5,apo-3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming),C7H15N3O2,173.116426739,M+H
"130",130,174.110898361472 / 593.099975585938,174.111 / 593.1,HMDB11756,174.111 / 593.1,N-Acetylleucine,C8H15NO3,173.105193351,M+H
"131",131,174.110940555289 / 270.600006103516,174.111 / 270.6,HMDB11756,174.111 / 270.6,N-Acetylleucine,C8H15NO3,173.105193351,M+H
"132",132,174.122110869892 / 77.4065628051758,174.122 / 77.4,HMDB59607,174.122 / 77.4,apo-3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming),C7H15N3O2,173.116426739,M+H
"133",133,175.077137600468 / 533.400024414062,175.077 / 533.4,HMDB37155,175.077 / 533.4,44-Thiobis-2-butanone,C8H14O2S,174.071450382,M+H
"134",134,175.582466350129 / 570.900024414062,175.582 / 570.9,HMDB60613,175.582 / 570.9,Pefloxacin N-oxide,C17H20FN3O4,349.143784348,M+2H
"135",135,176.069288020325 / 674.099975585938,176.069 / 674.1,HMDB40972,176.069 / 674.1,1-Methoxy-1H-indole-3-carboxaldehyde,C10H9NO2,175.063328537,M+H
"136",136,176.581265069642 / 570.900024414062,176.581 / 570.9,HMDB60479,176.581 / 570.9,Glutathione episulfonium ion,C12H20N3O6S,334.107281077,M+H+NH4
"137",137,177.052846790899 / 601.118286132812,177.053 / 601.1,HMDB59622,177.053 / 601.1,4-Methylumbelliferone,C10H8O3,176.047344122,M+H
"138",138,177.100079774706 / 66.5999984741211,177.1 / 66.6,HMDB38920,177.1 / 66.6,(S)-3-Mercaptohexyl acetate,C8H16O2S,176.087100446,M+H
"139",139,177.110404796515 / 805.200012207031,177.11 / 805.2,HMDB01046,177.11 / 805.2,Cotinine,C10H12N2O,176.094963016,M+H
"140",140,178.087752527347 / 154.800003051758,178.088 / 154.8,HMDB60063,178.088 / 154.8,NN-dimethylindoliumolate,C10H11NO2,177.078978601,M+H
"141",141,180.063477321305 / 450.364379882812,180.063 / 450.4,HMDB32595,180.063 / 450.4,1-(4-Methoxyphenyl)-2-nitroethylene,C9H9NO3,179.058243159,M+H
"142",142,180.085046479155 / 189.300018310547,180.085 / 189.3,HMDB41821,180.085 / 189.3,Acetylisoniazid,C8H9N3O2,179.069476547,M+H
"143",143,180.078689898148 / 766.799987792969,180.079 / 766.8,HMDB41821,180.079 / 766.8,Acetylisoniazid,C8H9N3O2,179.069476547,M+H
"144",144,180.182146157538 / 450.50358581543,180.182 / 450.5,HMDB15177,180.182 / 450.5,Memantine,C12H21N,179.167399677,M+H
"145",145,180.263388198542 / 450.308502197266,180.263 / 450.3,,,,,,
"146",146,180.315546902205 / 450.299987792969,180.316 / 450.3,,,,,,
"147",147,180.469348821146 / 450.300018310547,180.469 / 450.3,HMDB39785,180.469 / 450.3,Menthol propylene glycol carbonate,C28H52O8,516.36621864,M+2H+Na
"148",148,181.058890932384 / 298.200012207031,181.059 / 298.2,HMDB03345,181.059 / 298.2,Alpha-D-Glucose,C6H12O6,180.063388116,M+H
"149",149,181.067156870322 / 450.299987792969,181.067 / 450.3,HMDB03345,181.067 / 450.3,Alpha-D-Glucose,C6H12O6,180.063388116,M+H
"150",150,181.070115584192 / 166.199996948242,181.07 / 166.2,HMDB60980,181.07 / 166.2,N-desmethylrosiglitazone,C17H17N3O3S,343.099062115,M+H+NH4
"151",151,181.07024900749 / 269.100006103516,181.07 / 269.1,HMDB60980,181.07 / 269.1,N-desmethylrosiglitazone,C17H17N3O3S,343.099062115,M+H+NH4
"152",152,181.083360384615 / 766.799987792969,181.083 / 766.8,HMDB60734,181.083 / 766.8,3-(3-Hydroxyphenyl)-2-methylpropionic acid,C10H12O3,180.07864425,M+H
"153",153,182.061989996228 / 298.199981689453,182.062 / 298.2,HMDB03345,182.062 / 298.2,Alpha-D-Glucose,C6H12O6,-,M+H_[+1]
"154",154,182.079243412911 / 70.7999954223633,182.079 / 70.8,HMDB06037,182.079 / 70.8,8-Hydroxy-7-methylguanine,C6H7N5O2,181.059974493,M+H
"155",155,182.066240425441 / 82.5226058959961,182.066 / 82.5,HMDB60765,182.066 / 82.5,4-Hydroxyamphetamine,C9H13NO,151.099714043,2M+Na+K
"156",156,182.079346918741 / 527.700012207031,182.079 / 527.7,HMDB60280,182.079 / 527.7,467-Trihydroxy-1234-tetrahydroisoquinoline,C9H11NO3,181.073893223,M+H
"157",157,182.068933328447 / 450.299987792969,182.069 / 450.3,HMDB32595,182.069 / 450.3,1-(4-Methoxyphenyl)-2-nitroethylene,C9H9NO3,-,M+H_[+2]
"158",158,182.98396807255 / 1.79999995231628,182.984 / 1.8,HMDB32124,182.984 / 1.8,(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide,C5H10OS3,181.989377012,M+H
"159",159,182.98420910108 / 26.3999996185303,182.984 / 26.4,HMDB32124,182.984 / 26.4,(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide,C5H10OS3,181.989377012,M+H
"160",160,182.984242821645 / 21.6000003814697,182.984 / 21.6,HMDB32124,182.984 / 21.6,(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide,C5H10OS3,181.989377012,M+H
"161",161,182.983969265585 / 32.4000015258789,182.984 / 32.4,HMDB32124,182.984 / 32.4,(Z)-Methyl 3-(methylsulfinyl)-1-propenyl disulfide,C5H10OS3,181.989377012,M+H
"162",162,183.049764564375 / 92.0999984741211,183.05 / 92.1,HMDB60624,183.05 / 92.1,Ethionamide sulphoxide,C8H10N2OS,182.051383642,M+H
"163",163,183.079094513341 / 1368.59997558594,183.079 / 1368.6,HMDB59803,183.079 / 1368.6,9-Hydroxyfluorene,C13H10O,182.073164942,M+H
"164",164,183.082981705752 / 70.7999954223633,183.083 / 70.8,HMDB06037,183.083 / 70.8,8-Hydroxy-7-methylguanine,C6H7N5O2,-,M+H_[+1]
"165",165,183.110776986213 / 97.1999969482422,183.111 / 97.2,HMDB59891,183.111 / 97.2,Isoamyl 2-furoate,C10H14O3,182.094294314,M+H
"166",166,184.058697879144 / 86.000789642334,184.059 / 86,HMDB00017,184.059 / 86,4-Pyridoxic acid,C8H9NO4,183.053157781,M+H
"167",167,184.095141300076 / 620.699951171875,184.095 / 620.7,HMDB33141,184.095 / 620.7,2-Amino-a-carboline,C11H9N3,183.079647303,M+H
"168",168,184.615510279845 / 482.099975585938,184.616 / 482.1,HMDB60847,184.616 / 482.1,N-Monodesmethyl-rizatriptan,C15H19N5O,285.158960255,M+2ACN+2H
"169",169,185.126385250712 / 210,185.126 / 210,HMDB40883,185.126 / 210,(E)-10-Oxo-8-decenoic acid,C10H16O3,184.109944378,M+H
"170",170,185.116739372595 / 482.100006103516,185.117 / 482.1,HMDB61010,185.117 / 482.1,Noralfentanil,C16H24N2O2,276.183778022,2M+3H
"171",171,185.115087388583 / 652.499938964844,185.115 / 652.5,HMDB41835,185.115 / 652.5,Benzidine,C12H12N2,184.100048394,M+H
"172",172,186.017038820973 / 39.2999992370605,186.017 / 39.3,HMDB01721,186.017 / 39.3,DL-O-Phosphoserine,C3H8NO6P,185.008923505,M+H
"173",173,186.110720033519 / 642.899963378906,186.111 / 642.9,HMDB06548,186.111 / 642.9,Ecgonine,C9H15NO3,185.105193351,M+H
